Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Passion Fruits,Bag,57,3725.0,4/1/2013 ,358
Horticulture,Oranges,Bag,93,2948.0,4/1/2013 ,359
Horticulture,Lemons,Bag,95,1960.0,4/1/2013 ,360
Horticulture,Mangoes Local,Bag,126,2444.0,4/1/2013 ,361
Horticulture,Mangoes Ngowe,Sm Basket,25,770.0,4/1/2013 ,362
Horticulture,Limes,net,13,635.0,4/1/2013 ,363
Horticulture,Pineapples,Dozen,13,780.0,4/1/2013 ,364
Horticulture,Pawpaw,Lg Box,54,1473.0,4/1/2013 ,365
Horticulture,Avocado,Bag,90,2287.0,4/1/2013 ,366
Horticulture,Kales,Bag,50,848.0,4/1/2013 ,367
Horticulture,Lettuce,Bag,51,4090.0,5/1/2013 ,368
Horticulture,Kales,Bag,50,1277.0,5/1/2013 ,369
Horticulture,Avocado,Bag,90,2705.0,5/1/2013 ,370
Horticulture,Pawpaw,Lg Box,54,1777.0,5/1/2013 ,371
Horticulture,Pineapples,Dozen,13,754.0,5/1/2013 ,372
Horticulture,Limes,net,13,683.0,5/1/2013 ,373
Horticulture,Mangoes Ngowe,Sm Basket,25,1079.0,5/1/2013 ,374
Horticulture,Mangoes Local,Bag,126,2420.0,5/1/2013 ,375
Horticulture,Lemons,Bag,95,2112.0,5/1/2013 ,376
Horticulture,Oranges,Bag,93,2893.0,5/1/2013 ,377
Horticulture,Passion Fruits,Bag,57,3923.0,5/1/2013 ,378
Horticulture,Cauliflower,crate,39,3553.0,5/1/2013 ,379
Horticulture,Brinjals,Bag,44,1700.0,5/1/2013 ,380
Horticulture,Capsicums,Bag,50,2663.0,5/1/2013 ,381
Horticulture,Cucumber,Bag,50,2268.0,5/1/2013 ,382
Horticulture,Chillies,Bag,38,3105.0,5/1/2013 ,383
Horticulture,Spring Onions,Bag,142,2571.0,5/1/2013 ,384
Horticulture,Onions Dry,net,13,967.0,5/1/2013 ,385
Horticulture,Tomatoes,Lg Box,64,5596.0,5/1/2013 ,386
Horticulture,Carrots,Ext Bag,138,3318.0,5/1/2013 ,387
